EPPLER 908 12%
     1.000000    0.000000
     0.994233    0.001700
     0.983097    0.005946
     0.970921    0.010749
     0.958707    0.015185
     0.946247    0.019262
     0.933403    0.023187
     0.920419    0.027033
     0.907428    0.030774
     0.894352    0.034445
     0.881276    0.038042
     0.868201    0.041540
     0.855099    0.044946
     0.842031    0.048219
     0.829034    0.051297
     0.816057    0.054127
     0.802998    0.056725
     0.789810    0.059134
     0.776519    0.061401
     0.763202    0.063539
     0.749874    0.065543
     0.736505    0.067424
     0.723086    0.069202
     0.709634    0.070888
     0.696179    0.072487
     0.682729    0.073988
     0.669265    0.075390
     0.655775    0.076703
     0.642271    0.077930
     0.628760    0.079072
     0.615249    0.080127
     0.601738    0.081091
     0.588227    0.081959
     0.574713    0.082730
     0.561194    0.083401
     0.547672    0.083972
     0.534147    0.084443
     0.520618    0.084813
     0.507088    0.085081
     0.493565    0.085245
     0.480059    0.085297
     0.466562    0.085229
     0.453051    0.085042
     0.439525    0.084747
     0.425995    0.084349
     0.412464    0.083854
     0.398932    0.083262
     0.385403    0.082578
     0.371883    0.081800
     0.358369    0.080927
     0.344859    0.079959
     0.331357    0.078897
     0.317870    0.077741
     0.304391    0.076486
     0.290911    0.075135
     0.277437    0.073695
     0.263981    0.072162
     0.250541    0.070534
     0.237119    0.068808
     0.223725    0.066980
     0.210361    0.065039
     0.197020    0.062980
     0.183697    0.060800
     0.170404    0.058497
     0.157163    0.056066
     0.143974    0.053489
     0.130816    0.050754
     0.117696    0.047862
     0.104655    0.044810
     0.091727    0.041570
     0.078924    0.038105
     0.066314    0.034383
     0.053904    0.030337
     0.041743    0.025933
     0.030102    0.021153
     0.019261    0.015945
     0.010362    0.010730
     0.005145    0.006849
     0.002185    0.003956
     0.000635    0.001963
     0.000044    0.000503
     0.000232   -0.000941
     0.001242   -0.002637
     0.003479   -0.004652
     0.007535   -0.007384
     0.014856   -0.011113
     0.025296   -0.015162
     0.037064   -0.018783
     0.049401   -0.021892
     0.062014   -0.024530
     0.074723   -0.026689
     0.087618   -0.028412
     0.100758   -0.029800
     0.114078   -0.030956
     0.127494   -0.031942
     0.140966   -0.032795
     0.154458   -0.033533
     0.167977   -0.034162
     0.181537   -0.034705
     0.195115   -0.035177
     0.208693   -0.035580
     0.222282   -0.035918
     0.235886   -0.036198
     0.249504   -0.036428
     0.263122   -0.036612
     0.276736   -0.036750
     0.290355   -0.036839
     0.303987   -0.036888
     0.317624   -0.036900
     0.331255   -0.036874
     0.344879   -0.036808
     0.358499   -0.036700
     0.372128   -0.036549
     0.385768   -0.036361
     0.399405   -0.036141
     0.413025   -0.035882
     0.426641   -0.035579
     0.440265   -0.035232
     0.453890   -0.034846
     0.467502   -0.034418
     0.481100   -0.033939
     0.494691   -0.033405
     0.508283   -0.032817
     0.521878   -0.032172
     0.535455   -0.031468
     0.548984   -0.030693
     0.562461   -0.029817
     0.575920   -0.028822
     0.589398   -0.027716
     0.602912   -0.026513
     0.616463   -0.025241
     0.630048   -0.023926
     0.643654   -0.022585
     0.657265   -0.021235
     0.670871   -0.019886
     0.684485   -0.018544
     0.698102   -0.017207
     0.711703   -0.015877
     0.725224   -0.014594
     0.738691   -0.013402
     0.752161   -0.012248
     0.765628   -0.011036
     0.779064   -0.009805
     0.792531   -0.008654
     0.806103   -0.007576
     0.819733   -0.006520
     0.833330   -0.005495
     0.846899   -0.004520
     0.860465   -0.003601
     0.874014   -0.002749
     0.887545   -0.001981
     0.901075   -0.001303
     0.914610   -0.000718
     0.928129   -0.000231
     0.941654    0.000150
     0.955253    0.000455
     0.968824    0.000712
     0.982044    0.000833
     0.993923    0.000553
     1.000000    0.000000
